               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  11,            0.026121,           0.0069911,           0.0019782,             0.98095,             0.99549,             0.99472,             0.72899,            0.022797,           0.0046191,           0.0024043,             0.00802,             0.00802,             0.00802
                  12,            0.023674,           0.0069702,            0.001943,              0.9914,             0.99057,             0.99491,             0.79213,            0.020407,           0.0043525,            0.002376,            0.007822,            0.007822,            0.007822
                  13,            0.023515,           0.0068554,             0.00194,             0.99296,             0.97812,             0.99482,             0.78697,            0.021388,           0.0041448,           0.0022873,            0.007624,            0.007624,            0.007624
                  14,            0.022665,           0.0065084,           0.0019072,             0.98882,             0.99944,             0.99491,             0.80529,            0.020329,           0.0040013,           0.0022842,            0.007426,            0.007426,            0.007426
                  15,            0.022399,           0.0065126,            0.001842,             0.97676,             0.99948,             0.99463,             0.76248,            0.020141,           0.0038406,           0.0022966,            0.007228,            0.007228,            0.007228
                  16,            0.023121,           0.0064651,           0.0019261,              0.9768,                   1,             0.99352,             0.83382,            0.018508,           0.0041703,           0.0023185,             0.00703,             0.00703,             0.00703
                  17,            0.020456,           0.0064265,           0.0017113,             0.99346,             0.99057,             0.99491,             0.81954,            0.019108,           0.0040412,           0.0022049,            0.006832,            0.006832,            0.006832
                  18,            0.020766,            0.006142,           0.0017736,             0.99156,                   1,               0.995,              0.8223,            0.020016,           0.0040557,           0.0022032,            0.006634,            0.006634,            0.006634
                  19,             0.02158,           0.0065204,           0.0019459,             0.99464,             0.99853,               0.995,             0.78125,            0.019238,           0.0040712,           0.0023346,            0.006436,            0.006436,            0.006436
                  20,            0.020004,           0.0062144,           0.0017779,             0.99538,             0.99842,               0.995,             0.81173,            0.018269,           0.0039538,           0.0021377,            0.006238,            0.006238,            0.006238
                  21,            0.020069,           0.0059712,           0.0019338,             0.99707,              0.9951,               0.995,             0.83601,            0.018316,           0.0039988,            0.002112,             0.00604,             0.00604,             0.00604
                  22,            0.018435,           0.0061378,           0.0015694,             0.99542,              0.9959,               0.995,               0.842,            0.019245,           0.0039305,            0.002024,            0.005842,            0.005842,            0.005842
                  23,            0.018857,           0.0059959,            0.001652,             0.98557,             0.99181,             0.99491,             0.85116,             0.01788,           0.0037829,           0.0020102,            0.005644,            0.005644,            0.005644
                  24,            0.018743,           0.0058064,           0.0016464,             0.98905,             0.99705,             0.99491,              0.7959,            0.020139,           0.0039332,           0.0019957,            0.005446,            0.005446,            0.005446
                  25,            0.018616,           0.0059183,           0.0016692,             0.99676,             0.99657,               0.995,             0.83579,            0.017577,           0.0036969,           0.0019896,            0.005248,            0.005248,            0.005248
                  26,            0.018124,           0.0058285,           0.0017431,             0.99704,                   1,               0.995,              0.8643,            0.015962,           0.0035294,           0.0019363,             0.00505,             0.00505,             0.00505
                  27,            0.017358,           0.0056338,           0.0015357,             0.99522,             0.99744,               0.995,             0.85503,            0.016488,            0.003493,           0.0019284,            0.004852,            0.004852,            0.004852
                  28,             0.01681,            0.005861,           0.0015821,             0.99811,                   1,               0.995,              0.8639,            0.015971,           0.0034784,            0.001937,            0.004654,            0.004654,            0.004654
                  29,            0.016318,           0.0055185,           0.0015118,             0.99571,                   1,               0.995,             0.85709,            0.016301,            0.003538,           0.0019598,            0.004456,            0.004456,            0.004456
                  30,            0.016101,           0.0054589,           0.0016939,             0.99577,                   1,               0.995,             0.88471,            0.015229,           0.0033654,           0.0018767,            0.004258,            0.004258,            0.004258
                  31,            0.015588,           0.0052776,           0.0015127,             0.99629,                   1,               0.995,             0.88917,            0.014224,           0.0032507,           0.0018997,             0.00406,             0.00406,             0.00406
                  32,            0.014809,           0.0051639,           0.0014248,             0.99718,                   1,               0.995,             0.88629,            0.014427,           0.0032386,           0.0018692,            0.003862,            0.003862,            0.003862
                  33,             0.01539,            0.005176,           0.0016871,             0.99648,                   1,               0.995,             0.86202,            0.015512,           0.0032288,           0.0018328,            0.003664,            0.003664,            0.003664
                  34,            0.014425,           0.0052245,           0.0014221,             0.99636,             0.99678,               0.995,             0.87878,            0.013682,           0.0029862,           0.0017502,            0.003466,            0.003466,            0.003466
                  35,            0.013835,           0.0050645,            0.001388,             0.99559,             0.99994,               0.995,             0.92018,             0.01375,           0.0030574,           0.0017707,            0.003268,            0.003268,            0.003268
                  36,            0.013827,           0.0050501,           0.0013952,             0.99379,             0.99896,               0.995,             0.88562,            0.014841,           0.0030699,           0.0017131,             0.00307,             0.00307,             0.00307
                  37,            0.013494,           0.0051976,           0.0013683,             0.99502,                   1,               0.995,             0.91488,             0.01269,           0.0029839,           0.0017409,            0.002872,            0.002872,            0.002872
                  38,            0.013305,           0.0049184,           0.0014251,             0.97952,                   1,              0.9937,               0.898,            0.012892,           0.0031633,           0.0017415,            0.002674,            0.002674,            0.002674
                  39,             0.01263,            0.004978,           0.0013938,             0.99696,                   1,               0.995,             0.91275,             0.01312,           0.0029739,           0.0017513,            0.002476,            0.002476,            0.002476
                  40,            0.012818,            0.004978,            0.001371,             0.99643,                   1,               0.995,             0.91479,            0.012704,           0.0028688,           0.0017271,            0.002278,            0.002278,            0.002278
                  41,            0.011999,           0.0046018,           0.0012602,             0.99688,                   1,               0.995,             0.91066,            0.012607,           0.0028394,           0.0016878,             0.00208,             0.00208,             0.00208
                  42,            0.011965,           0.0046888,           0.0013684,             0.99701,                   1,               0.995,             0.91997,            0.012269,           0.0029111,           0.0016783,            0.001882,            0.001882,            0.001882
                  43,            0.011731,           0.0045888,           0.0012443,             0.99758,                   1,               0.995,             0.92751,            0.011621,           0.0028747,           0.0016847,            0.001684,            0.001684,            0.001684
                  44,            0.010796,           0.0044572,           0.0012129,             0.99751,                   1,               0.995,             0.92624,            0.011794,            0.002608,           0.0016336,            0.001486,            0.001486,            0.001486
                  45,            0.011097,           0.0046503,           0.0012737,             0.99787,                   1,               0.995,             0.92287,             0.01142,           0.0026448,           0.0016127,            0.001288,            0.001288,            0.001288
                  46,             0.01049,           0.0043498,           0.0011605,             0.99721,                   1,               0.995,              0.9346,            0.011282,           0.0026328,           0.0016177,             0.00109,             0.00109,             0.00109
                  47,            0.010634,           0.0043731,           0.0013786,              0.9973,                   1,               0.995,             0.93046,             0.01136,           0.0025727,           0.0015854,            0.000892,            0.000892,            0.000892
                  48,            0.010159,           0.0043489,           0.0012097,             0.99681,                   1,               0.995,              0.9308,            0.010847,           0.0025573,           0.0015494,            0.000694,            0.000694,            0.000694
                  49,            0.010001,           0.0042183,           0.0013113,             0.99614,                   1,               0.995,             0.93075,            0.010676,           0.0025278,           0.0015509,            0.000496,            0.000496,            0.000496
